,timestamp_mdf,GPS_Week,GPS_Seconds,Latitude_deg,Longitude_deg,Height_m,Undulation_m,North_Velocity_m_invert_s,East_Velocity_m_invert_s,Up_Velocity_m_invert_s,Roll_deg,Pitch_deg,Azimuth_deg,INS_Status,Latitude_Sigma,Longitude_Sigma,Height_Sigma,North_Vel_Sigma,East_Vel_Sigma,Up_Vel_Sigma,Roll_Sigma,Pitch_Sigma,Azimuth_Sigma
159,1645015684559420.8,,,,,,,,,,,,,,,,,,,,,,
160,1645015684569434.5,,,,,,,,,,,,,,,,,,,,,,
161,1645015684579501.5,,,,,,,,,,,,,,,,,,,,,,
162,1645015684589466.8,,,,,,,,,,,,,,,,,,,,,,
163,1645015684599462.5,,,,,,,,,,,,,,,,,,,,,,
164,1645015684609412.2,,,,,,,,,,,,,,,,,,,,,,
165,1645015684619356.0,,,,,,,,,,,,,,,,,,,,,,
166,1645015684629404.2,,,,,,,,,,,,,,,,,,,,,,
167,1645015684639437.8,,,,,,,,,,,,,,,,,,,,,,
168,1645015684649614.2,,,,,,,,,,,,,,,,,,,,,,
169,1645015684659608.2,,,,,,,,,,,,,,,,,,,,,,
170,1645015684669535.2,,,,,,,,,,,,,,,,,,,,,,
171,1645015684679335.0,,,,,,,,,,,,,,,,,,,,,,
172,1645015684689413.8,,,,,,,,,,,,,,,,,,,,,,
173,1645015684699476.8,,,,,,,,,,,,,,,,,,,,,,
174,1645015684709386.2,,,,,,,,,,,,,,,,,,,,,,
175,1645015684719513.5,,,,,,,,,,,,,,,,,,,,,,
176,1645015684729471.5,,,,,,,,,,,,,,,,,,,,,,
177,1645015684740222.8,,,,,,,,,,,,,,,,,,,,,,
178,1645015684749377.0,,,,,,,,,,,,,,,,,,,,,,
179,1645015684759692.5,,,,,,,,,,,,,,,,,,,,,,
180,1645015684769382.8,,,,,,,,,,,,,,,,,,,,,,
181,1645015684779366.0,,,,,,,,,,,,,,,,,,,,,,
182,1645015684789577.5,,,,,,,,,,,,,,,,,,,,,,
183,1645015684799416.0,,,,,,,,,,,,,,,,,,,,,,
184,1645015684809402.8,,,,,,,,,,,,,,,,,,,,,,
185,1645015684819514.8,,,,,,,,,,,,,,,,,,,,,,
186,1645015684829349.0,,,,,,,,,,,,,,,,,,,,,,
187,1645015684839503.0,,,,,,,,,,,,,,,,,,,,,,
